symbol,date,underlying_open,underlying_high,underlying_low,underlying_close,underlying_volume,contract_type,option_ticker,expiration_date,strike_price,option_open,option_high,option_low,option_close,option_volume,option_vwap,option_transactions,missing_reason
IWM,2026-04-24,276.67,278.13,274.23,276.65,21568587.644564,call,O:IWM260424C00277000,2026-04-24,277,0.96,1.42,0.01,0.01,65330,0.4367,10345,
IWM,2026-04-24,276.67,278.13,274.23,276.65,21568587.644564,put,O:IWM260424P00277000,2026-04-24,277,1.6,2.91,0.16,0.55,37263,0.4904,5922,
IWM,2026-04-27,276.82,278.24,276.25,277.14,23398172.308873,call,O:IWM260427C00277000,2026-04-27,277,0.84,1.76,0.16,0.23,86910,0.4756,13340,
IWM,2026-04-27,276.82,278.24,276.25,277.14,23398172.308873,put,O:IWM260427P00277000,2026-04-27,277,0.93,1.31,0.2,0.21,45868,0.6678,8953,
QQQ,2026-04-20,648.04,648.76,642.52,646.79,37138511.525949,call,O:QQQ260420C00647000,2026-04-20,647,2.6,3.07,0.05,0.06,313515,0.6433,33909,
QQQ,2026-04-20,648.04,648.76,642.52,646.79,37138511.525949,put,O:QQQ260420P00647000,2026-04-20,647,1.56,4.7,0.26,0.34,169886,1.6292,25658,
QQQ,2026-04-21,648.41,650.2,642.21,644.33,39580523.461914,call,O:QQQ260421C00644000,2026-04-21,644,5,6.3,0.22,2.95,56412,1.7184,7224,
QQQ,2026-04-21,648.41,650.2,642.21,644.33,39580523.461914,put,O:QQQ260421P00644000,2026-04-21,644,0.62,2.18,0.03,0.09,292164,0.6551,33057,
QQQ,2026-04-22,650.15,655.33,648.52,655.11,37368402.935201,call,O:QQQ260422C00655000,2026-04-22,655,0.28,1.41,0.11,0.89,249506,0.403,26816,
QQQ,2026-04-22,650.15,655.33,648.52,655.11,37368402.935201,put,O:QQQ260422P00655000,2026-04-22,655,5.16,6.53,0.07,0.13,58995,1.5697,6672,
QQQ,2026-04-23,653.55,656.92,645.52,651.42,40099827.620404,call,O:QQQ260423C00651000,2026-04-23,651,3.28,5.79,0.2,1.08,136907,1.326,15266,
QQQ,2026-04-23,653.55,656.92,645.52,651.42,40099827.620404,put,O:QQQ260423P00651000,2026-04-23,651,1.46,5.81,0.05,0.13,225183,1.0455,26530,
QQQ,2026-04-24,658.51,664.51,656.5301,663.88,45563050.241662,call,O:QQQ260424C00664000,2026-04-24,664,0.23,1.16,0.05,0.09,268564,0.483,29779,
QQQ,2026-04-24,658.51,664.51,656.5301,663.88,45563050.241662,put,O:QQQ260424P00664000,2026-04-24,664,5.4,7.27,0.29,0.52,135891,1.1021,14292,
QQQ,2026-04-27,663.4,664.43,660.69,664.23,32450723.284778,call,O:QQQ260427C00664000,2026-04-27,664,1.63,1.83,0.21,0.23,350659,0.6489,45808,
